Date,Open,High,Low,Close,Volume,OpenInt
06-07-1983,3.2068,3.2236,3.1812,3.1812,297856,0
07-07-1983,3.1898,3.2747,3.1812,3.2747,629838,0
08-07-1983,3.2747,3.2921,3.1812,3.1898,709726,0
11-07-1983,3.2068,3.2407,3.1812,3.2068,128561,0
12-07-1983,3.2068,3.2068,3.1131,3.1642,129089,0
13-07-1983,3.147,3.1898,3.147,3.147,512123,0
14-07-1983,3.147,3.1812,3.147,3.147,735382,0
15-07-1983,3.1642,3.1642,3.147,3.1642,355789,0
18-07-1983,3.147,3.1642,3.0367,3.0705,357902,0
19-07-1983,3.0535,3.0705,3.0026,3.0195,644913,0
20-07-1983,3.0705,3.0792,3.0367,3.0705,528526,0
21-07-1983,3.0535,3.0705,2.977,2.9856,999907,0
22-07-1983,2.8748,2.9856,2.7558,2.8748,454985,0
25-07-1983,2.8493,2.8664,2.7985,2.8493,1119477,0
26-07-1983,2.7985,2.8664,2.7558,2.8664,1055992,0
27-07-1983,2.9258,2.9428,2.8493,2.8748,1100165,0
28-07-1983,2.8493,2.8748,2.7728,2.8155,761307,0
29-07-1983,2.7728,2.7815,2.6878,2.7388,552067,0
01-08-1983,2.7216,2.7728,2.6966,2.7388,539107,0
02-08-1983,2.7388,2.7728,2.7133,2.7133,328542,0
03-08-1983,2.7216,2.7388,2.6794,2.7388,717659,0
04-08-1983,2.7216,2.8493,2.62,2.6966,868966,0
05-08-1983,2.6966,2.6966,2.6452,2.6966,432499,0
08-08-1983,2.6966,2.6966,2.6028,2.6281,214266,0
09-08-1983,2.6621,2.6621,2.5857,2.6281,304471,0
10-08-1983,2.6281,2.6281,2.5093,2.5518,860504,0
11-08-1983,2.5518,2.6028,2.5347,2.569,605765,0
12-08-1983,2.569,2.6028,2.5518,2.6028,447581,0
15-08-1983,2.5857,2.6621,2.569,2.6281,1372364,0
16-08-1983,2.5518,2.569,2.458,2.5093,989592,0
17-08-1983,2.4923,2.5093,2.3986,2.4242,4178459,0
18-08-1983,2.4242,2.458,2.3986,2.4412,1791109,0
19-08-1983,2.4412,2.5093,2.4071,2.4923,1143018,0
22-08-1983,2.5179,2.569,2.4923,2.5093,637245,0
23-08-1983,2.5518,2.569,2.5179,2.5347,559473,0
24-08-1983,2.5347,2.5518,2.5093,2.5093,833525,0
25-08-1983,2.5179,2.569,2.5093,2.5347,1156774,0
26-08-1983,2.5179,2.5857,2.5179,2.569,443875,0
29-08-1983,2.5857,2.5857,2.5347,2.5518,183051,0
30-08-1983,2.5518,2.569,2.5347,2.5518,128295,0
31-08-1983,2.5518,2.6794,2.5347,2.6794,433822,0
01-09-1983,2.7133,2.7558,2.6794,2.7133,389912,0
02-09-1983,2.7728,2.7728,2.7216,2.7388,263734,0
06-09-1983,2.7388,2.8238,2.7388,2.7728,636977,0
07-09-1983,2.8066,2.9346,2.7897,2.9004,775327,0
08-09-1983,2.9176,2.9176,2.8238,2.8238,1157566,0
09-09-1983,2.8238,2.8326,2.7216,2.7388,506039,0
12-09-1983,2.7728,2.7897,2.6966,2.7133,230138,0
13-09-1983,2.6794,2.6966,2.6281,2.6966,508683,0
14-09-1983,2.6966,2.7216,2.6621,2.6794,284367,0
15-09-1983,2.6794,2.6794,2.6281,2.6452,1002291,0
16-09-1983,2.6452,2.6621,2.62,2.6621,794905,0
19-09-1983,2.6452,2.7133,2.6281,2.6794,329865,0
20-09-1983,2.6966,2.7133,2.6452,2.6621,352086,0
21-09-1983,2.6966,2.8066,2.6794,2.7728,607880,0
22-09-1983,2.7728,2.8326,2.7558,2.8066,1451984,0
23-09-1983,2.8326,2.9004,2.8326,2.8664,780352,0
26-09-1983,2.8833,2.9176,2.8326,2.8493,495195,0
27-09-1983,2.8326,2.8493,2.8066,2.8066,667402,0
28-09-1983,2.7728,2.8066,2.7728,2.7897,237283,0
29-09-1983,2.7728,2.7897,2.7388,2.7897,126445,0
30-09-1983,2.7728,2.8066,2.7216,2.8066,367163,0
03-10-1983,2.7897,2.7897,2.6794,2.7133,280661,0
04-10-1983,2.7133,2.7558,2.6621,2.6966,361871,0
05-10-1983,2.7133,2.8066,2.6794,2.8066,465036,0
06-10-1983,2.8238,2.977,2.8238,2.96,1113656,0
07-10-1983,2.9939,2.9939,2.9176,2.96,722689,0
10-10-1983,2.9428,2.9428,2.9004,2.9176,285691,0
11-10-1983,2.8833,2.96,2.8664,2.9428,262675,0
12-10-1983,2.9176,3.0281,2.9176,2.9428,337798,0
13-10-1983,2.9346,2.96,2.9176,2.9176,296798,0
14-10-1983,2.9428,2.96,2.9346,2.96,280661,0
17-10-1983,2.9428,2.96,2.9176,2.9346,129355,0
18-10-1983,2.96,2.96,2.9004,2.9004,370071,0
19-10-1983,2.9004,2.9176,2.7728,2.8493,517943,0
20-10-1983,2.96,3.045,2.96,2.9939,7405679,0
21-10-1983,2.9939,3.0111,2.96,2.977,1943741,0
24-10-1983,2.9428,2.9428,2.9004,2.9428,311084,0
25-10-1983,2.9346,2.977,2.9176,2.977,818444,0
26-10-1983,2.977,2.9939,2.96,2.9939,298915,0
27-10-1983,2.96,2.977,2.9176,2.9428,471649,0
28-10-1983,2.9428,2.9428,2.9176,2.9346,397847,0
31-10-1983,2.9346,2.9856,2.9176,2.9856,516883,0
01-11-1983,2.9939,3.0623,2.9856,3.0623,1248829,0
02-11-1983,3.0623,3.0623,2.9939,3.0111,182788,0
03-11-1983,2.9856,3.0623,2.9686,3.0623,1023983,0
04-11-1983,2.9939,3.0281,2.9939,2.9939,239135,0
07-11-1983,2.9939,2.9939,2.9346,2.9939,291774,0
08-11-1983,2.9856,3.0281,2.9856,2.9939,106867,0
09-11-1983,2.9939,3.0111,2.9686,2.9856,395994,0
10-11-1983,2.9686,2.9939,2.9516,2.9516,597828,0
11-11-1983,2.9856,2.9856,2.9686,2.9856,253152,0
14-11-1983,2.9939,2.9939,2.9516,2.9686,297327,0
15-11-1983,2.9516,2.9686,2.9346,2.9346,98670,0
16-11-1983,2.9346,2.9516,2.9346,2.9346,281194,0
17-11-1983,2.9176,2.9346,2.858,2.892,213210,0
18-11-1983,2.8748,2.892,2.7897,2.8238,438317,0
21-11-1983,2.8238,2.841,2.7897,2.8238,369279,0
22-11-1983,2.892,2.9176,2.858,2.892,708666,0
23-11-1983,2.8748,2.892,2.7645,2.8238,660790,0
25-11-1983,2.7897,2.8066,2.7474,2.8066,110834,0
28-11-1983,2.7897,2.7897,2.6539,2.6539,311084,0
29-11-1983,2.6539,2.6966,2.6368,2.6966,466889,0
30-11-1983,2.7303,2.7815,2.6966,2.7645,970283,0
01-12-1983,2.7474,2.7645,2.7303,2.7645,307380,0
02-12-1983,2.7303,2.8066,2.7303,2.8066,502333,0
05-12-1983,2.7897,2.7897,2.7474,2.7815,109777,0
06-12-1983,2.7645,2.7897,2.7474,2.7815,142845,0
07-12-1983,2.7897,2.7897,2.7645,2.7815,231460,0
08-12-1983,2.7815,2.8066,2.7645,2.8066,503923,0
09-12-1983,2.7815,2.8238,2.7645,2.7815,261881,0
12-12-1983,2.7815,2.7815,2.7133,2.7474,181200,0
13-12-1983,2.7303,2.7303,2.6794,2.6966,365841,0
14-12-1983,2.7303,2.7474,2.7133,2.7303,190723,0
15-12-1983,2.7133,2.7133,2.62,2.6368,543601,0
16-12-1983,2.6368,2.6706,2.62,2.6539,398641,0
19-12-1983,2.6539,2.6794,2.6368,2.6539,388854,0
20-12-1983,2.6539,2.6539,2.569,2.569,236221,0
21-12-1983,2.5433,2.6368,2.5433,2.5857,845953,0
22-12-1983,2.5857,2.6028,2.5604,2.5857,208975,0
23-12-1983,2.5857,2.5857,2.5093,2.5433,296798,0
27-12-1983,2.5263,2.569,2.5263,2.569,519264,0
28-12-1983,2.5263,2.5604,2.4923,2.5093,411073,0
29-12-1983,2.5093,2.5604,2.5093,2.5433,777707,0
30-12-1983,2.5433,2.5433,2.4923,2.5263,316109,0
03-01-1984,2.5263,2.5263,2.4498,2.458,307380,0
04-01-1984,2.4498,2.6966,2.4498,2.6966,1187987,0
05-01-1984,2.6966,2.6966,2.62,2.6368,459217,0
06-01-1984,2.6539,2.6794,2.6028,2.6539,486993,0
09-01-1984,2.6368,2.841,2.6368,2.7897,1176878,0
10-01-1984,2.8066,2.841,2.7474,2.7645,443875,0
11-01-1984,2.7474,2.8066,2.7303,2.7897,310555,0
12-01-1984,2.7897,2.8238,2.7815,2.8066,352086,0
13-01-1984,2.7897,2.8066,2.7474,2.7474,207126,0
16-01-1984,2.7303,2.7645,2.6706,2.7133,568994,0
17-01-1984,2.7133,2.7645,2.6794,2.7645,371395,0
18-01-1984,2.7815,2.858,2.7815,2.841,695439,0
19-01-1984,2.841,2.841,2.7303,2.7815,1426060,0
20-01-1984,2.7815,2.7815,2.7474,2.7645,576136,0
23-01-1984,2.7303,2.7815,2.7133,2.7645,371926,0
24-01-1984,2.7474,2.7815,2.7133,2.7645,6691989,0
25-01-1984,2.7815,2.858,2.7815,2.8066,302618,0
26-01-1984,2.8066,2.9346,2.8066,2.841,732211,0
27-01-1984,2.858,2.9346,2.841,2.9346,763686,0
30-01-1984,2.9686,2.9686,2.841,2.841,591481,0
31-01-1984,2.841,2.892,2.841,2.8748,342032,0
01-02-1984,2.8748,2.892,2.858,2.8748,847542,0
02-02-1984,2.909,2.909,2.8748,2.909,986158,0
03-02-1984,2.892,2.9516,2.8326,2.8326,866586,0
06-02-1984,2.7985,2.8155,2.7303,2.7645,480112,0
07-02-1984,2.7645,2.7985,2.7303,2.7985,326956,0
08-02-1984,2.8748,2.909,2.8326,2.841,856273,0
09-02-1984,2.8155,2.8326,2.7216,2.7474,709726,0
10-02-1984,2.7216,2.7303,2.6539,2.6539,711574,0
13-02-1984,2.6706,2.6706,2.5604,2.6112,406840,0
14-02-1984,2.6112,2.6706,2.5944,2.6706,472707,0
15-02-1984,2.6878,2.7046,2.6539,2.6706,163744,0
16-02-1984,2.6706,2.6706,2.6539,2.6539,267968,0
17-02-1984,2.6539,2.7303,2.6368,2.6878,325898,0
21-02-1984,2.6706,2.7474,2.6706,2.7216,593864,0
22-02-1984,2.6878,2.7216,2.6878,2.7046,469796,0
23-02-1984,2.7303,2.7303,2.6368,2.6878,340446,0
24-02-1984,2.6368,2.6539,2.5944,2.6368,287012,0
27-02-1984,2.6112,2.6368,2.5263,2.5944,815272,0
28-02-1984,2.5771,2.5771,2.5263,2.5263,575876,0
29-02-1984,2.5263,2.5604,2.5093,2.5093,360284,0
01-03-1984,2.5433,2.62,2.5263,2.6112,518207,0
02-03-1984,2.6539,2.7216,2.6539,2.7216,298384,0
05-03-1984,2.6878,2.6878,2.5944,2.62,367958,0
06-03-1984,2.6368,2.6368,2.5093,2.5433,225905,0
07-03-1984,2.5263,2.5433,2.4667,2.5263,402344,0
08-03-1984,2.5007,2.5604,2.5007,2.5604,374041,0
09-03-1984,2.5604,2.5604,2.5093,2.5263,125649,0
12-03-1984,2.5433,2.5944,2.5263,2.5944,152895,0
13-03-1984,2.5944,2.62,2.5433,2.5433,431180,0
14-03-1984,2.5263,2.6112,2.5263,2.5944,311084,0
15-03-1984,2.5944,2.5944,2.5433,2.5604,102636,0
16-03-1984,2.6539,2.6539,2.5944,2.5944,609201,0
19-03-1984,2.5604,2.5604,2.4498,2.4667,614232,0
20-03-1984,2.5007,2.5093,2.4836,2.5093,325898,0
21-03-1984,2.5007,2.5604,2.5007,2.5604,188869,0
22-03-1984,2.5944,2.5944,2.5093,2.5093,133058,0
23-03-1984,2.5433,2.5433,2.5007,2.5007,224321,0
26-03-1984,2.5007,2.5007,2.4327,2.5007,438588,0
27-03-1984,2.5007,2.5007,2.4836,2.4836,133588,0
28-03-1984,2.4836,2.5007,2.4667,2.4667,166648,0
29-03-1984,2.4667,2.5007,2.4667,2.4836,223788,0
30-03-1984,2.4836,2.5093,2.3986,2.4327,385417,0
02-04-1984,2.4158,2.4158,2.3986,2.3986,1912000,0
03-04-1984,2.3986,2.4158,2.3986,2.3986,262675,0
04-04-1984,2.4158,2.4498,2.3986,2.4158,1463363,0
05-04-1984,2.4158,2.4498,2.3986,2.3986,529319,0
06-04-1984,2.3986,2.4158,2.3732,2.3732,330924,0
09-04-1984,2.3732,2.3903,2.322,2.3563,146811,0
10-04-1984,2.3392,2.3563,2.1775,2.2115,2783345,0
11-04-1984,2.2456,2.2456,2.1775,2.1944,703376,0
12-04-1984,2.2286,2.2286,2.1688,2.2115,588042,0
13-04-1984,2.2115,2.2115,2.1944,2.2115,405518,0
16-04-1984,2.2286,2.2286,2.1944,2.2286,324573,0
17-04-1984,2.2286,2.3392,2.2286,2.305,2072298,0
18-04-1984,2.3392,2.3392,2.2883,2.3392,445994,0
19-04-1984,2.3563,2.3563,2.2795,2.2883,429060,0
23-04-1984,2.305,2.305,2.2456,2.2456,223526,0
24-04-1984,2.2795,2.2795,2.2456,2.2624,153425,0
25-04-1984,2.2883,2.322,2.2624,2.2795,469533,0
26-04-1984,2.2795,2.2795,2.2456,2.2456,103958,0
27-04-1984,2.2456,2.2624,2.2115,2.2456,191780,0
30-04-1984,2.2624,2.2795,2.2456,2.2624,249715,0
01-05-1984,2.2966,2.2966,2.2456,2.2966,1154922,0
02-05-1984,2.3137,2.3137,2.2966,2.3137,252888,0
03-05-1984,2.3306,2.3475,2.2966,2.2966,289393,0
04-05-1984,2.3137,2.3475,2.2966,2.3137,639358,0
07-05-1984,2.2966,2.2966,2.2624,2.2795,207653,0
08-05-1984,2.2966,2.3732,2.2795,2.3137,610265,0
09-05-1984,2.3475,2.3732,2.3306,2.3306,443082,0
10-05-1984,2.3475,2.3903,2.3475,2.3732,377214,0
11-05-1984,2.3732,2.3732,2.3137,2.3137,209767,0
14-05-1984,2.3137,2.3137,2.2966,2.2966,135702,0
15-05-1984,2.2966,2.3306,2.2966,2.3306,275371,0
16-05-1984,2.3137,2.3306,2.2966,2.3306,112158,0
17-05-1984,2.3306,2.3306,2.2624,2.2795,237016,0
18-05-1984,2.2624,2.2795,2.22,2.2624,345471,0
21-05-1984,2.2286,2.2624,2.203,2.203,325101,0
22-05-1984,2.203,2.203,2.1349,2.1688,502071,0
23-05-1984,2.1688,2.203,2.1688,2.1859,227492,0
24-05-1984,2.1521,2.1859,2.1349,2.1349,269551,0
25-05-1984,2.1178,2.1178,2.0415,2.0753,443875,0
29-05-1984,2.0585,2.0753,2.0073,2.0243,803366,0
30-05-1984,2.0243,2.0585,2.0073,2.0415,212682,0
31-05-1984,2.0243,2.0415,2.0073,2.0243,156070,0
01-06-1984,2.0415,2.1178,2.0243,2.1178,240453,0
04-06-1984,2.1521,2.22,2.1521,2.1859,266640,0
05-06-1984,2.1688,2.203,2.1521,2.1859,323517,0
06-06-1984,2.203,2.2286,2.1688,2.2286,436998,0
07-06-1984,2.2286,2.2286,2.1859,2.203,71421,0
08-06-1984,2.2286,2.2456,2.22,2.2286,135172,0
11-06-1984,2.22,2.2286,2.203,2.22,38092,0
12-06-1984,2.1859,2.22,2.1688,2.1859,161892,0
13-06-1984,2.203,2.2286,2.1688,2.1859,149192,0
14-06-1984,2.1688,2.1859,2.1178,2.1178,161097,0
15-06-1984,2.1521,2.203,2.1521,2.1688,215325,0
18-06-1984,2.203,2.2286,2.1521,2.22,151311,0
19-06-1984,2.203,2.2286,2.1688,2.2286,192842,0
20-06-1984,2.203,2.22,2.1521,2.22,252093,0
21-06-1984,2.22,2.2456,2.22,2.2286,320342,0
22-06-1984,2.2286,2.2286,2.1349,2.1859,932986,0
25-06-1984,2.203,2.203,2.1688,2.1688,123797,0
26-06-1984,2.1688,2.203,2.1688,2.203,76978,0
27-06-1984,2.1859,2.22,2.1859,2.22,238075,0
28-06-1984,2.203,2.22,2.1859,2.22,44971,0
29-06-1984,2.22,2.2456,2.203,2.2286,269287,0
02-07-1984,2.2456,2.2456,2.1859,2.203,101312,0
03-07-1984,2.1688,2.1859,2.1349,2.1859,167977,0
05-07-1984,2.1521,2.1859,2.1521,2.1859,452341,0
06-07-1984,2.1688,2.1688,2.1178,2.1349,155539,0
09-07-1984,2.1095,2.1349,2.0924,2.1178,858125,0
10-07-1984,2.1095,2.1095,2.0243,2.0585,981392,0
11-07-1984,2.0585,2.0753,2.0243,2.0585,857066,0
12-07-1984,2.0415,2.0585,1.9647,2.0073,1016313,0
13-07-1984,2.0243,2.0243,1.982,2.0073,247333,0
16-07-1984,2.0073,2.0243,1.9647,2.0243,467154,0
17-07-1984,2.0243,2.0753,2.0073,2.0415,239396,0
18-07-1984,2.0415,2.0415,1.9989,2.0073,399700,0
19-07-1984,1.9989,2.0243,1.9647,2.0073,350496,0
20-07-1984,2.0243,2.0243,2.0073,2.0073,222992,0
23-07-1984,1.9989,2.0243,1.982,2.0243,429329,0
24-07-1984,2.0243,2.0243,1.9478,1.9647,211091,0
25-07-1984,1.9647,1.9989,1.9647,1.9989,167709,0
26-07-1984,2.0243,2.0243,1.9989,2.0243,245483,0
27-07-1984,2.0073,2.0415,1.9989,2.0415,441760,0
30-07-1984,2.0243,2.0415,1.9989,1.9989,171148,0
31-07-1984,1.982,2.0585,1.982,2.0415,300240,0
01-08-1984,2.0924,2.1775,2.0753,2.1775,1478967,0
02-08-1984,2.2371,2.2711,2.203,2.2371,524028,0
03-08-1984,2.2541,2.2883,2.1606,2.1775,1306497,0
06-08-1984,2.203,2.2711,2.1859,2.22,997529,0
07-08-1984,2.203,2.2883,2.1859,2.2711,1656201,0
08-08-1984,2.2711,2.2711,2.2371,2.2541,421919,0
09-08-1984,2.2883,2.3986,2.2711,2.3816,1206239,0
10-08-1984,2.5433,2.5433,2.3986,2.4158,1256503,0
13-08-1984,2.3986,2.3986,2.3475,2.3986,365841,0
14-08-1984,2.3816,2.3986,2.3306,2.3475,720834,0
15-08-1984,2.3475,2.3475,2.3137,2.3306,258705,0
16-08-1984,2.3475,2.3646,2.3475,2.3646,522438,0
17-08-1984,2.3646,2.3646,2.305,2.3306,220087,0
20-08-1984,2.3306,2.3475,2.2883,2.305,108456,0
21-08-1984,2.305,2.4158,2.305,2.4158,1197245,0
22-08-1984,2.4158,2.4158,2.3475,2.3475,184373,0
23-08-1984,2.3646,2.4242,2.3306,2.4158,1168148,0
24-08-1984,2.4242,2.4412,2.4158,2.4412,370867,0
27-08-1984,2.4242,2.4242,2.3646,2.3816,228550,0
28-08-1984,2.3816,2.4158,2.3646,2.3816,114009,0
29-08-1984,2.3986,2.3986,2.3475,2.3646,254739,0
30-08-1984,2.3646,2.3646,2.3475,2.3646,647561,0
31-08-1984,2.3646,2.3646,2.3306,2.3475,147077,0
04-09-1984,2.3475,2.3475,2.2883,2.3137,447581,0
05-09-1984,2.3137,2.3306,2.305,2.3137,430117,0
06-09-1984,2.3306,2.3306,2.305,2.3306,372985,0
07-09-1984,2.3306,2.4158,2.2883,2.3137,410814,0
10-09-1984,2.3475,2.3816,2.3306,2.3816,215062,0
11-09-1984,2.3816,2.4158,2.3646,2.3646,656555,0
12-09-1984,2.3816,2.3816,2.3475,2.3475,62957,0
13-09-1984,2.3646,2.4158,2.3475,2.3986,607880,0
14-09-1984,2.4753,2.4753,2.4158,2.4242,1032181,0
17-09-1984,2.4242,2.4412,2.3816,2.4158,362666,0
18-09-1984,2.22,2.305,2.203,2.305,1065511,0
19-09-1984,2.305,2.305,2.2541,2.2711,485407,0
20-09-1984,2.2711,2.2883,2.2541,2.2711,456574,0
21-09-1984,2.2883,2.3306,2.2883,2.305,615819,0
24-09-1984,2.3137,2.3306,2.305,2.3306,332508,0
25-09-1984,2.3306,2.3306,2.305,2.3137,429060,0
26-09-1984,2.3137,2.3306,2.305,2.3306,618462,0
27-09-1984,2.3475,2.3475,2.2883,2.305,692266,0
28-09-1984,2.2883,2.2883,2.2371,2.2371,396790,0
01-10-1984,2.2371,2.2541,2.203,2.2541,378269,0
02-10-1984,2.2541,2.2883,2.203,2.22,310025,0
03-10-1984,2.203,2.22,2.1775,2.1775,256060,0
04-10-1984,2.203,2.2371,2.1606,2.1606,529319,0
05-10-1984,2.1775,2.1859,2.1606,2.1606,281719,0
08-10-1984,2.1606,2.1775,2.0924,2.1095,220353,0
09-10-1984,2.1095,2.1267,2.0753,2.0753,387003,0
10-10-1984,2.0753,2.0924,2.0669,2.0924,443082,0
11-10-1984,2.1267,2.1267,2.0924,2.1095,246010,0
12-10-1984,2.1606,2.1775,2.1436,2.1775,857066,0
15-10-1984,2.1606,2.1606,2.0669,2.0924,988007,0
16-10-1984,2.0924,2.0924,2.0669,2.0753,338329,0
17-10-1984,2.0924,2.1095,2.0753,2.0753,136497,0
18-10-1984,2.0753,2.1267,2.0669,2.1267,644913,0
19-10-1984,2.1606,2.1606,2.1267,2.1267,608939,0
22-10-1984,2.1436,2.1606,2.1095,2.1606,280133,0
23-10-1984,2.1606,2.1606,2.1267,2.1436,405518,0
24-10-1984,2.1095,2.1095,2.0753,2.0924,902036,0
25-10-1984,2.0924,2.0924,2.0753,2.0753,444669,0
26-10-1984,2.1095,2.1095,2.0753,2.1095,767392,0
29-10-1984,2.1178,2.1178,2.101,2.101,315842,0
30-10-1984,2.101,2.1349,2.084,2.1349,767392,0
31-10-1984,2.1349,2.1606,2.1178,2.1349,963937,0
01-11-1984,2.1606,2.2541,2.1436,2.2286,918704,0
02-11-1984,2.1944,2.2286,2.1944,2.2286,296006,0
05-11-1984,2.2286,2.2541,2.2115,2.2541,613964,0
06-11-1984,2.2541,2.3732,2.2456,2.3732,2529930,0
07-11-1984,2.3986,2.3986,2.3392,2.3563,1710430,0
08-11-1984,2.3392,2.3563,2.2456,2.2541,438057,0
09-11-1984,2.2541,2.2711,2.2115,2.2286,709192,0
12-11-1984,2.2286,2.2711,2.1944,2.2711,352613,0
13-11-1984,2.2711,2.2711,2.2456,2.2541,333832,0
14-11-1984,2.2711,2.2711,2.2286,2.2456,172204,0
15-11-1984,2.2286,2.2456,2.2115,2.2286,371130,0
16-11-1984,2.2286,2.2286,2.1349,2.1436,425624,0
19-11-1984,2.1606,2.1944,2.1436,2.1775,168767,0
20-11-1984,2.1775,2.2286,2.1606,2.1944,230138,0
21-11-1984,2.2286,2.2286,2.1944,2.2286,220619,0
23-11-1984,2.2456,2.2883,2.2456,2.2711,532491,0
26-11-1984,2.2883,2.3392,2.2711,2.2711,559473,0
27-11-1984,2.2883,2.3392,2.2883,2.305,249185,0
28-11-1984,2.3392,2.3563,2.322,2.3563,490165,0
29-11-1984,2.3392,2.3563,2.322,2.3563,514505,0
30-11-1984,2.322,2.3563,2.322,2.322,224582,0
03-12-1984,2.305,2.322,2.2286,2.2711,365841,0
04-12-1984,2.2711,2.305,2.2541,2.305,425356,0
05-12-1984,2.2883,2.322,2.2711,2.2883,472707,0
06-12-1984,2.2883,2.322,2.2711,2.2883,771623,0
07-12-1984,2.2883,2.3392,2.2883,2.3392,721098,0
10-12-1984,2.305,2.3563,2.305,2.3392,999646,0
11-12-1984,2.3563,2.4158,2.3563,2.4158,885107,0
12-12-1984,2.4158,2.4158,2.3732,2.3732,730357,0
13-12-1984,2.3816,2.3986,2.3732,2.3816,70893,0
14-12-1984,2.3816,2.3986,2.3732,2.3732,389648,0
17-12-1984,2.3563,2.3816,2.3563,2.3816,349441,0
18-12-1984,2.4158,2.5093,2.4158,2.4667,1659372,0
19-12-1984,2.5007,2.5093,2.4158,2.4667,1377655,0
20-12-1984,2.4667,2.4836,2.4327,2.4498,330127,0
21-12-1984,2.4158,2.4498,2.3986,2.4327,373772,0
24-12-1984,2.4498,2.4667,2.4158,2.4158,201041,0
26-12-1984,2.4327,2.4498,2.4158,2.4327,53965,0
27-12-1984,2.4327,2.4327,2.4158,2.4327,166918,0
28-12-1984,2.4158,2.4498,2.4158,2.4327,263734,0
31-12-1984,2.4158,2.4667,2.4158,2.4327,421919,0
